Price,Close,High,Low,Open,Volume
Ticker,CL=F,CL=F,CL=F,CL=F,CL=F
2020-12-18,49.099998474121094,49.279998779296875,48.099998474121094,48.43000030517578,83711
2020-12-21,47.7400016784668,48.61000061035156,46.18000030517578,48.540000915527344,478098
2020-12-22,47.02000045776367,47.959999084472656,46.599998474121094,47.93000030517578,295737
2020-12-23,48.119998931884766,48.5,46.15999984741211,46.790000915527344,344306
2020-12-24,48.22999954223633,48.619998931884766,47.560001373291016,48.09000015258789,167390
2020-12-28,47.619998931884766,48.959999084472656,47.5,48.22999954223633,238462
2020-12-29,48.0,48.349998474121094,47.68000030517578,47.720001220703125,213778
2020-12-30,48.400001525878906,48.65999984741211,47.61000061035156,48.130001068115234,266957
2020-12-31,48.52000045776367,48.58000183105469,47.77000045776367,48.349998474121094,181894
2021-01-04,47.619998931884766,49.83000183105469,47.18000030517578,48.400001525878906,528525
2021-01-05,49.93000030517578,50.20000076293945,47.2400016784668,47.380001068115234,643191
2021-01-06,50.630001068115234,50.939998626708984,49.47999954223633,49.81999969482422,509365
2021-01-07,50.83000183105469,51.279998779296875,50.38999938964844,50.529998779296875,369292
2021-01-08,52.2400016784668,52.75,50.810001373291016,50.93000030517578,499416
2021-01-11,52.25,52.70000076293945,51.5,52.58000183105469,394822
2021-01-12,53.209999084472656,53.45000076293945,52.06999969482422,52.18000030517578,400200
2021-01-13,52.90999984741211,53.93000030517578,52.58000183105469,53.310001373291016,429898
2021-01-14,53.56999969482422,53.75,52.2400016784668,52.84000015258789,390087
2021-01-15,52.36000061035156,53.83000183105469,51.83000183105469,53.79999923706055,165668
2021-01-19,52.97999954223633,53.130001068115234,51.7599983215332,52.0,125964
2021-01-20,53.2400016784668,53.790000915527344,53.04999923706055,53.130001068115234,400301
2021-01-21,53.130001068115234,53.40999984741211,52.75,52.93000030517578,352397
2021-01-22,52.27000045776367,53.15999984741211,51.439998626708984,53.099998474121094,437484
2021-01-25,52.77000045776367,52.95000076293945,51.81999969482422,52.16999816894531,349076
2021-01-26,52.61000061035156,53.25,52.290000915527344,52.90999984741211,314538
2021-01-27,52.849998474121094,53.29999923706055,51.849998474121094,52.7599983215332,442376
2021-01-28,52.34000015258789,53.58000183105469,52.040000915527344,52.650001525878906,411406
2021-01-29,52.20000076293945,53.25,51.93000030517578,52.150001525878906,410914
2021-02-01,53.54999923706055,53.7400016784668,51.63999938964844,51.9900016784668,416067
2021-02-02,54.7599983215332,55.2599983215332,53.45000076293945,53.47999954223633,463718
2021-02-03,55.689998626708984,56.33000183105469,54.810001373291016,55.04999923706055,448693
2021-02-04,56.22999954223633,56.58000183105469,55.29999923706055,55.959999084472656,381404
2021-02-05,56.849998474121094,57.290000915527344,56.43000030517578,56.459999084472656,400833
2021-02-08,57.970001220703125,58.13999938964844,57.0,57.060001373291016,399724
2021-02-09,58.36000061035156,58.619998931884766,57.27000045776367,58.11000061035156,514698
2021-02-10,58.68000030517578,58.90999984741211,58.08000183105469,58.45000076293945,457535
2021-02-11,58.2400016784668,58.709999084472656,57.84000015258789,58.400001525878906,380445
2021-02-12,59.470001220703125,59.81999969482422,57.40999984741211,57.939998626708984,480822
2021-02-16,60.04999923706055,60.95000076293945,59.33000183105469,59.97999954223633,602332
2021-02-17,61.13999938964844,61.72999954223633,59.43000030517578,60.2400016784668,335419
2021-02-18,60.52000045776367,62.2599983215332,59.790000915527344,61.68000030517578,132035
2021-02-19,59.2400016784668,60.290000915527344,58.59000015258789,60.20000076293945,102427
2021-02-22,61.4900016784668,61.84000015258789,58.81999969482422,58.880001068115234,505773
2021-02-23,61.66999816894531,63.0,60.66999816894531,62.15999984741211,570677
